,date,cart_id,product
0,1/1/2000,1,yogurt
1,1/1/2000,1,pork
2,1/1/2000,1,sandwich bags
3,1/1/2000,1,lunch meat
4,1/1/2000,1,all- purpose
5,1/1/2000,1,flour
6,1/1/2000,1,soda
7,1/1/2000,1,butter
8,1/1/2000,1,vegetables
9,1/1/2000,1,beef
10,1/1/2000,1,aluminum foil
11,1/1/2000,1,all- purpose
12,1/1/2000,1,dinner rolls
13,1/1/2000,1,shampoo
14,1/1/2000,1,all- purpose
15,1/1/2000,1,mixes
16,1/1/2000,1,soap
17,1/1/2000,1,laundry detergent
18,1/1/2000,1,ice cream
19,1/1/2000,1,dinner rolls
20,1/1/2000,2,toilet paper
21,1/1/2000,2,shampoo
22,1/1/2000,2,hand soap
23,1/1/2000,2,waffles
24,1/1/2000,2,vegetables
25,1/1/2000,2,cheeses
26,1/1/2000,2,mixes
27,1/1/2000,2,milk
28,1/1/2000,2,sandwich bags
29,1/1/2000,2,laundry detergent
30,1/1/2000,2,dishwashing liquid/detergent
31,1/1/2000,2,waffles
32,1/1/2000,2,individual meals
33,1/1/2000,2,hand soap
34,1/1/2000,2,vegetables
35,1/1/2000,2,individual meals
36,1/1/2000,2,yogurt
37,1/1/2000,2,cereals
38,1/1/2000,2,shampoo
39,1/1/2000,2,vegetables
40,1/1/2000,2,aluminum foil
41,1/1/2000,2,tortillas
42,1/1/2000,2,mixes
43,1/2/2000,3,soda
44,1/2/2000,3,pork
45,1/2/2000,3,soap
46,1/2/2000,3,ice cream
47,1/2/2000,3,toilet paper
48,1/2/2000,3,dinner rolls
49,1/2/2000,3,hand soap
50,1/2/2000,3,spaghetti sauce
51,1/2/2000,3,milk
52,1/2/2000,3,ketchup
53,1/2/2000,3,sandwich loaves
54,1/2/2000,3,poultry
55,1/2/2000,3,toilet paper
56,1/2/2000,3,ice cream
57,1/2/2000,3,ketchup
58,1/2/2000,3,vegetables
59,1/2/2000,3,laundry detergent
60,1/2/2000,3,spaghetti sauce
61,1/2/2000,3,bagels
62,1/2/2000,3,soap
63,1/2/2000,3,ice cream
64,1/2/2000,3,shampoo
65,1/2/2000,3,lunch meat
66,1/2/2000,3,cereals
67,1/2/2000,3,spaghetti sauce
68,1/2/2000,3,pork
69,1/2/2000,3,vegetables
70,1/2/2000,3,cheeses
71,1/2/2000,3,eggs
72,1/2/2000,3,vegetables
73,1/2/2000,3,vegetables
74,1/2/2000,4,cereals
75,1/2/2000,4,juice
76,1/2/2000,4,lunch meat
77,1/2/2000,4,soda
78,1/2/2000,4,toilet paper
79,1/2/2000,4,all- purpose
80,1/2/2000,5,sandwich loaves
81,1/2/2000,5,pasta
82,1/2/2000,5,tortillas
83,1/2/2000,5,mixes
84,1/2/2000,5,hand soap
85,1/2/2000,5,toilet paper
86,1/2/2000,5,vegetables
87,1/2/2000,5,vegetables
88,1/2/2000,5,paper towels
89,1/2/2000,5,vegetables
90,1/2/2000,5,flour
91,1/2/2000,5,vegetables
92,1/2/2000,5,pork
93,1/2/2000,5,poultry
94,1/2/2000,5,eggs
95,1/2/2000,5,vegetables
96,1/2/2000,5,pork
97,1/2/2000,5,spaghetti sauce
98,1/2/2000,5,vegetables
99,1/2/2000,5,milk
100,1/2/2000,5,waffles
101,1/2/2000,5,individual meals
102,1/2/2000,5,vegetables
103,1/2/2000,5,dinner rolls
104,1/2/2000,5,all- purpose
105,1/2/2000,5,soda
106,1/2/2000,5,yogurt
107,1/2/2000,6,laundry detergent
108,1/2/2000,6,toilet paper
109,1/2/2000,6,eggs
110,1/2/2000,6,toilet paper
111,1/2/2000,6,vegetables
112,1/2/2000,6,bagels
113,1/2/2000,6,dishwashing liquid/detergent
114,1/2/2000,6,cereals
115,1/2/2000,6,paper towels
116,1/2/2000,6,laundry detergent
117,1/2/2000,6,butter
118,1/2/2000,6,cereals
119,1/2/2000,6,bagels
120,1/2/2000,6,paper towels
121,1/2/2000,6,shampoo
122,1/2/2000,6,toilet paper
123,1/2/2000,6,soap
124,1/2/2000,6,soap
125,1/2/2000,6,pasta
126,1/2/2000,6,coffee/tea
127,1/2/2000,6,poultry
128,1/2/2000,6,bagels
129,1/2/2000,6,aluminum foil
130,1/2/2000,6,butter
131,1/2/2000,6,spaghetti sauce
132,1/2/2000,6,ketchup
133,1/2/2000,6,all- purpose
134,1/2/2000,6,milk
135,1/3/2000,7,individual meals
136,1/3/2000,7,paper towels
137,1/3/2000,7,tortillas
138,1/3/2000,7,vegetables
139,1/3/2000,7,milk
140,1/3/2000,7,ice cream
141,1/3/2000,7,juice
142,1/3/2000,7,dishwashing liquid/detergent
143,1/3/2000,7,soap
144,1/3/2000,7,sandwich bags
145,1/3/2000,7,pasta
146,1/3/2000,7,ketchup
147,1/3/2000,7,all- purpose
148,1/3/2000,7,yogurt
149,1/3/2000,7,mixes
150,1/3/2000,7,mixes
151,1/3/2000,7,toilet paper
152,1/3/2000,7,vegetables
153,1/3/2000,7,beef
154,1/3/2000,7,sandwich bags
155,1/3/2000,7,eggs
156,1/3/2000,7,spaghetti sauce
157,1/3/2000,7,fruits
158,1/3/2000,7,toilet paper
159,1/4/2000,8,ice cream
160,1/4/2000,8,juice
161,1/4/2000,8,paper towels
162,1/4/2000,8,waffles
163,1/4/2000,8,soda
164,1/4/2000,8,cheeses
165,1/4/2000,8,poultry
166,1/4/2000,8,toilet paper
167,1/4/2000,8,vegetables
168,1/4/2000,9,juice
169,1/4/2000,9,poultry
170,1/4/2000,9,coffee/tea
171,1/4/2000,9,coffee/tea
172,1/4/2000,9,dishwashing liquid/detergent
173,1/5/2000,10,ketchup
174,1/5/2000,10,coffee/tea
175,1/5/2000,10,toilet paper
176,1/5/2000,10,pork
177,1/5/2000,10,flour
178,1/5/2000,10,milk
179,1/5/2000,10,soda
180,1/5/2000,10,dishwashing liquid/detergent
181,1/5/2000,10,eggs
182,1/5/2000,10,tortillas
183,1/5/2000,10,tortillas
184,1/5/2000,10,vegetables
185,1/5/2000,10,fruits
186,1/5/2000,10,sugar
187,1/5/2000,10,soap
188,1/5/2000,10,dishwashing liquid/detergent
189,1/5/2000,10,juice
190,1/5/2000,10,sandwich loaves
191,1/5/2000,10,poultry
192,1/5/2000,10,eggs
193,1/5/2000,10,flour
194,1/5/2000,10,bagels
195,1/5/2000,10,soda
196,1/5/2000,10,bagels
197,1/5/2000,10,soda
198,1/5/2000,10,beef
199,1/5/2000,10,coffee/tea
200,1/5/2000,10,dishwashing liquid/detergent
201,1/5/2000,10,cheeses
202,1/5/2000,10,beef
203,1/5/2000,10,soap
204,1/5/2000,10,lunch meat
205,1/5/2000,10,pork
206,1/5/2000,10,waffles
207,1/5/2000,11,sandwich loaves
208,1/5/2000,11,ice cream
209,1/5/2000,11,soda
210,1/5/2000,11,bagels
211,1/5/2000,11,dishwashing liquid/detergent
212,1/5/2000,11,eggs
213,1/5/2000,11,sugar
214,1/5/2000,11,waffles
215,1/5/2000,11,individual meals
216,1/5/2000,11,toilet paper
217,1/5/2000,11,pasta
218,1/5/2000,11,sandwich loaves
219,1/5/2000,11,cheeses
220,1/5/2000,11,vegetables
221,1/5/2000,11,hand soap
222,1/5/2000,11,vegetables
223,1/5/2000,11,vegetables
224,1/5/2000,11,ketchup
225,1/5/2000,11,poultry
226,1/5/2000,11,dinner rolls
227,1/5/2000,11,dishwashing liquid/detergent
228,1/5/2000,11,coffee/tea
229,1/5/2000,11,milk
230,1/5/2000,11,shampoo
231,1/5/2000,11,ketchup
232,1/5/2000,11,sandwich loaves
233,1/5/2000,11,hand soap
234,1/5/2000,11,bagels
235,1/5/2000,11,flour
236,1/5/2000,11,vegetables
237,1/5/2000,11,pork
238,1/6/2000,12,pork
239,1/6/2000,12,tortillas
240,1/6/2000,12,pork
241,1/6/2000,12,shampoo
242,1/6/2000,12,lunch meat
243,1/6/2000,12,pasta
